iter	Logloss
0	0.5815736901
1	0.4961728658
2	0.4367665544
3	0.3937397488
4	0.3615515185
5	0.3371554632
6	0.3187959665
7	0.3056540162
8	0.2959541476
9	0.2881539984
10	0.2822784852
11	0.2773896127
12	0.2733884532
13	0.2705020594
14	0.2676248864
15	0.2660994772
16	0.2641774832
17	0.2629343372
18	0.2615421959
19	0.2607183465
20	0.2600853997
21	0.2593044508
22	0.2588239099
23	0.2583233989
24	0.2579050174
25	0.2575964599
26	0.2572560351
27	0.2569707152
28	0.256773411
29	0.2565680772
30	0.2563127893
31	0.2561162661
32	0.2560086333
33	0.255741407
34	0.2555945877
35	0.2554465222
36	0.2553014226
37	0.2551733858
38	0.2550190985
39	0.2548848058
40	0.2547094946
41	0.2545956679
42	0.2544799187
43	0.2544234461
44	0.2542782787
45	0.2542255509
46	0.2540799422
47	0.2539977194
48	0.2539454715
49	0.2538185282
50	0.2537797684
51	0.2536649336
52	0.2535739514
53	0.253512057
54	0.2534140343
55	0.2533372506
56	0.2531847163
57	0.253140061
58	0.2530679623
59	0.2530220357
60	0.2529830344
61	0.2529109805
62	0.2528448373
63	0.2528176078
64	0.2527868255
65	0.2527166481
66	0.2526763708
67	0.2526311289
68	0.2526101084
69	0.2525637213
70	0.2525150996
71	0.2524244705
72	0.2523753837
73	0.2523553418
74	0.2523251781
75	0.2523032438
76	0.2522566032
77	0.2521751007
78	0.2520849279
79	0.2520173671
80	0.2519509742
81	0.2518392599
82	0.251807919
83	0.2517034362
84	0.2516568114
85	0.251615025
86	0.2515849227
87	0.2514952729
88	0.2514615799
89	0.2514191427
90	0.2513863924
91	0.251367321
92	0.2513468346
93	0.2513121515
94	0.2512734478
95	0.2512513947
96	0.2511730782
97	0.2511512445
98	0.251136621
99	0.2510936156
100	0.2510775181
101	0.2510184191
102	0.2509693288
103	0.2509561352
104	0.2509165201
105	0.2508944811
106	0.2508795213
107	0.2508384264
108	0.2508048417
109	0.25076337
110	0.2507130944
111	0.2506340131
112	0.2506062457
113	0.2505368633
114	0.2504580219
115	0.2504262701
116	0.2503841826
117	0.2503382918
118	0.2503077118
119	0.2502915199
120	0.25021996
121	0.2501914226
122	0.2501718194
123	0.2501458606
124	0.2501288984
125	0.2501006089
126	0.2500876333
127	0.2500622035
128	0.2500394421
129	0.2500182831
130	0.2499932942
131	0.2499600009
132	0.2499347252
133	0.2498886461
134	0.2498668782
135	0.2498356739
136	0.2497762475
137	0.2497050361
138	0.2496807235
139	0.2496693795
140	0.2495942174
141	0.2495433439
142	0.2495270624
143	0.2494929173
144	0.249385793
145	0.2493269558
146	0.24926621
147	0.2492235885
148	0.2491318421
149	0.2490805957
150	0.2490229236
151	0.2489620386
152	0.2489303217
153	0.2489085381
154	0.2488616824
155	0.2488442219
156	0.248787122
157	0.2486952775
158	0.2486524089
159	0.2486318693
160	0.2485768436
161	0.2485580455
162	0.2485298642
163	0.2485030038
164	0.2484761044
165	0.2484350041
166	0.2483840474
167	0.2483682465
168	0.2483421517
169	0.2483241743
170	0.2482541732
171	0.2481882752
172	0.2481389619
173	0.2481212687
174	0.2480974226
175	0.2480735465
176	0.2480530871
177	0.248031192
178	0.2479742471
179	0.2479319866
180	0.247888106
181	0.2478313863
182	0.2478152564
183	0.2477983102
184	0.247781299
185	0.2477599563
186	0.2477062128
187	0.2476900362
188	0.2476568597
189	0.2476120488
190	0.2475686824
191	0.24755421
192	0.2475156894
193	0.2474796406
194	0.2474570752
195	0.2474364765
196	0.2473875862
197	0.2473611929
198	0.2473464623
199	0.2473175811
200	0.247248286
201	0.247222268
202	0.2471933789
203	0.247142357
204	0.2470978168
205	0.2470513333
206	0.2469900691
207	0.2469673402
208	0.2469330268
209	0.2468902364
210	0.2468738673
211	0.2468439167
212	0.246831375
213	0.2468146133
214	0.2468033708
215	0.2467689337
216	0.2467422779
217	0.2467217009
218	0.2466922743
219	0.2466664827
220	0.2466370364
221	0.2466132272
222	0.2465623481
223	0.2465249256
224	0.2465024087
225	0.2464731489
226	0.2464544246
227	0.2464237068
228	0.2464072734
229	0.2463875373
230	0.24636402
231	0.2463274271
232	0.2462947136
233	0.2462621989
234	0.2462467459
235	0.2462111359
236	0.2461542198
237	0.2461267504
238	0.2460653475
239	0.2460455918
240	0.2460007707
241	0.2459753969
242	0.2459423639
243	0.2459239
244	0.2459006571
245	0.2458875996
246	0.2458601679
247	0.2458467151
248	0.245831441
249	0.2458123897
250	0.2457925875
251	0.2457766253
252	0.245742817
253	0.2457033776
254	0.2456877508
255	0.2456520995
256	0.245617915
257	0.2456022415
258	0.2455825872
259	0.2455684658
260	0.2455234251
261	0.245508049
262	0.2454901348
263	0.2454595641
264	0.245436444
265	0.2454100457
266	0.2453930293
267	0.2453784835
268	0.2453422213
269	0.2453207869
270	0.2453022159
271	0.2452804312
272	0.2452666323
273	0.2452496977
274	0.2452313373
275	0.2452193011
276	0.2452015451
277	0.2451858757
278	0.2451706389
279	0.2451563524
280	0.2451378919
281	0.2451053134
282	0.2450643375
283	0.245027114
284	0.2449948638
285	0.2449778791
286	0.2449596558
287	0.244934722
288	0.244918492
289	0.2449022547
290	0.2448748771
291	0.2448586455
292	0.2448310012
293	0.2448169229
294	0.2448000836
295	0.2447788661
296	0.2447664823
297	0.2447518035
298	0.2447361472
299	0.2447078139
300	0.2446931865
301	0.2446816577
302	0.2446690491
303	0.2446395703
304	0.2445897188
305	0.2445695725
306	0.2445462992
307	0.244520497
308	0.2445035495
309	0.2444888759
310	0.2444734724
311	0.2444405643
312	0.2444202149
313	0.2443969332
314	0.2443731962
315	0.2443608502
316	0.2443475579
317	0.2443325694
318	0.2443196926
319	0.2443021938
320	0.2442861792
321	0.2442691481
322	0.2442546062
323	0.2442395042
324	0.2442256144
325	0.2442067633
326	0.2441943615
327	0.24417085
328	0.2441533818
329	0.244141877
330	0.2441235903
331	0.2441080202
332	0.2440966902
333	0.2440823221
334	0.244069151
335	0.2440513515
336	0.2440354419
337	0.2439926097
338	0.2439788048
339	0.2439641188
340	0.2439469649
341	0.243934563
342	0.2439200262
343	0.2439066667
344	0.2438940355
345	0.2438752763
346	0.2438616759
347	0.24385048
348	0.243837771
349	0.2438097936
350	0.2437830502
351	0.2437738241
352	0.2437604977
353	0.2437486387
354	0.2437323894
355	0.2437222218
356	0.2437116798
357	0.243695319
358	0.2436761759
359	0.2436653522
360	0.2436520038
361	0.2436357148
362	0.2436246423
363	0.2435896672
364	0.2435735743
365	0.243560868
366	0.2435359453
367	0.2435268289
368	0.243516032
369	0.2435034137
370	0.2434898274
371	0.2434701237
372	0.2434509963
373	0.2434312518
374	0.2434145632
375	0.2433946017
376	0.2433778834
377	0.2433617614
378	0.2433418484
379	0.2433214441
380	0.2433100235
381	0.2432961333
382	0.2432778617
383	0.2432550387
384	0.243237576
385	0.2432265647
386	0.2432139508
387	0.243203744
388	0.2431843256
389	0.243174071
390	0.2431583486
391	0.2431453892
392	0.2431346531
393	0.2431218966
394	0.2430962327
395	0.2430801545
396	0.2430681965
397	0.2430575086
398	0.2430409668
399	0.2429986433
400	0.2429689952
401	0.2429544041
402	0.2429405809
403	0.2429279472
404	0.2429128986
405	0.2429005872
406	0.2428866941
407	0.242865547
408	0.2428147107
409	0.2427951644
410	0.2427812461
411	0.2427707762
412	0.2427606002
413	0.2427413614
414	0.2427280445
415	0.2427135237
416	0.2427042217
417	0.2426873004
418	0.2426706668
419	0.2426595938
420	0.2426499027
421	0.2426353974
422	0.2426223556
423	0.2426117507
424	0.2425975917
425	0.2425813907
426	0.2425695902
427	0.2425546496
428	0.2425390775
429	0.2425200751
430	0.2425045254
431	0.2424684932
432	0.2424598977
433	0.2424461824
434	0.2424244499
435	0.2424101596
436	0.2424024104
437	0.2423873343
438	0.2423667869
439	0.242355161
440	0.2423431442
441	0.2423321417
442	0.2423213964
443	0.2422957323
444	0.2422751547
445	0.2422381738
446	0.2422241036
447	0.2422043357
448	0.2421910474
449	0.2421651836
450	0.2421460001
451	0.242121627
452	0.2421033978
453	0.2420659217
454	0.2420447351
455	0.2420316818
456	0.2420209548
457	0.2420103933
458	0.2419991159
459	0.241949141
460	0.2419354623
461	0.2419202282
462	0.2419043577
463	0.2418873248
464	0.2418763591
465	0.2418643282
466	0.2418539009
467	0.2418387193
468	0.2418114734
469	0.2417994619
470	0.2417874373
471	0.2417768524
472	0.2417628827
473	0.2417499518
474	0.2417400113
475	0.2417322068
476	0.2417205377
477	0.2417096799
478	0.2416989426
479	0.2416885142
480	0.2416718571
481	0.2416608628
482	0.2416524281
483	0.2416387105
484	0.241628377
485	0.2416189741
486	0.2416053128
487	0.2415893084
488	0.2415766526
489	0.2415641178
490	0.2415456316
491	0.2415305292
492	0.2415108957
493	0.2414993321
494	0.2414859956
495	0.2414705981
496	0.2414546396
497	0.2414404668
498	0.2414289444
499	0.2414185656
500	0.2414086949
501	0.2413974183
502	0.2413810672
503	0.2413671867
504	0.2413522638
505	0.2413410183
506	0.2413161899
507	0.2413069865
508	0.2412942578
509	0.2412639097
510	0.2412461295
511	0.2412360966
512	0.2412140278
513	0.2411965167
514	0.2411835314
515	0.2411712698
516	0.2411435732
517	0.2411259178
518	0.2410976273
519	0.2410821844
520	0.2410712985
521	0.2410608688
522	0.2410490018
523	0.2410330121
524	0.241021996
525	0.2410033942
526	0.2409753144
527	0.2409617247
528	0.2409518266
529	0.2409400214
530	0.2409274704
531	0.2409158857
532	0.2409030208
533	0.2408912331
534	0.2408685199
535	0.2408542123
536	0.2408376185
537	0.2408262022
538	0.2408124949
539	0.2407991452
540	0.2407870936
541	0.2407725605
542	0.24076232
543	0.2407452084
544	0.2407356017
545	0.2407226981
546	0.2407114645
547	0.2406994156
548	0.2406755664
549	0.2406590135
550	0.2406467266
551	0.2406389195
552	0.240626411
553	0.2406151557
554	0.2406075469
555	0.2405927047
556	0.2405806096
557	0.2405660581
558	0.240552032
559	0.2405397495
560	0.2405307374
561	0.240520463
562	0.2405103203
563	0.2404970598
564	0.2404868889
565	0.2404775843
566	0.2404684858
567	0.2404608861
568	0.240449858
569	0.2404364044
570	0.2404174318
571	0.240404794
572	0.2403927308
573	0.2403814067
574	0.2403663505
575	0.2403566597
576	0.2403459651
577	0.2403335532
578	0.2403242348
579	0.2403060471
580	0.240293579
581	0.2402796571
582	0.2402633793
583	0.2402524905
584	0.2402410135
585	0.2402310309
586	0.2402164122
587	0.2402039144
588	0.2401692969
589	0.2401488128
590	0.240136269
591	0.2401241995
592	0.2401080385
593	0.2400961284
594	0.240081704
595	0.2400694793
596	0.240056929
597	0.2400490011
598	0.2400375577
