iter	Passed	Remaining
0	231	138496
1	377	112621
2	525	104359
3	674	100305
4	840	99901
5	1001	99005
6	1147	97077
7	1300	96044
8	1460	95776
9	1606	94616
10	1759	94051
11	1915	93697
12	2064	93050
13	2219	92735
14	2381	92722
15	2532	92295
16	2664	91224
17	2822	91088
18	2966	90559
19	3084	89309
20	3224	88741
21	3360	88139
22	3494	87509
23	3623	86817
24	3762	86384
25	3909	86161
26	4050	85817
27	4187	85400
28	4330	85122
29	4455	84496
30	4593	84162
31	4740	83989
32	4885	83800
33	5029	83582
34	5177	83437
35	5325	83281
36	5471	83100
37	5615	82904
38	5740	82424
39	5888	82289
40	6034	82125
41	6182	81994
42	6330	81860
43	6482	81768
44	6637	81715
45	6874	82649
46	7050	82800
47	7204	82701
48	7335	82342
49	7485	82193
50	7620	81879
51	7766	81702
52	7900	81388
53	8033	81076
54	8192	81034
55	8343	80905
56	8489	80721
57	8654	80727
58	8801	80552
59	8933	80251
60	9095	80218
61	9238	80020
62	9379	79799
63	9515	79545
64	9681	79534
65	9828	79369
66	9960	79086
67	10112	78963
68	10267	78864
69	10407	78651
70	10547	78436
71	10697	78297
72	10855	78217
73	11012	78126
74	11159	77970
75	11306	77808
76	11437	77535
77	11560	77220
78	11702	77029
79	11838	76799
80	11963	76506
81	12112	76366
82	12243	76117
83	12351	75725
84	12479	75462
85	12599	75160
86	12718	74846
87	12864	74704
88	12988	74431
89	13116	74178
90	13265	74056
91	13416	73938
92	13561	73788
93	13701	73607
94	13842	73436
95	13988	73293
96	14114	73047
97	14254	72874
98	14401	72737
99	14539	72550
100	14692	72442
101	14823	72230
102	14965	72068
103	15125	71993
104	15250	71752
105	15404	71643
106	15546	71485
107	15670	71244
108	15812	71083
109	15956	70932
110	16090	70741
111	16209	70481
112	16370	70407
113	16499	70194
114	16617	69938
115	16746	69730
116	16906	69647
117	17042	69471
118	17185	69318
119	17335	69195
120	17476	69041
121	17620	68892
122	17777	68797
123	17908	68601
124	18053	68459
125	18185	68268
126	18318	68081
127	18446	67876
128	18579	67691
129	18712	67509
130	18846	67328
131	18969	67110
132	19099	66918
133	19231	66736
134	19360	66542
135	19482	66326
136	19621	66168
137	19751	65981
138	19874	65770
139	19990	65538
140	20124	65370
141	20258	65198
142	20389	65017
143	20521	64842
144	20651	64660
145	20786	64496
146	20902	64272
147	21037	64108
148	21148	63870
149	21280	63700
150	21398	63486
151	21531	63318
152	21667	63160
153	21800	62994
154	21920	62792
155	22047	62609
156	22176	62434
157	22297	62235
158	22429	62068
159	22555	61885
160	22668	61668
161	22795	61491
162	22928	61329
163	23050	61138
164	23182	60976
165	23304	60787
166	23435	60622
167	23547	60409
168	23670	60226
169	23803	60068
170	23927	59889
171	24063	59739
172	24192	59572
173	24320	59402
174	24452	59244
175	24579	59073
176	24707	58906
177	24827	58720
178	24953	58550
179	25080	58382
180	25215	58232
181	25347	58076
182	25478	57919
183	25600	57739
184	25733	57587
185	25861	57424
186	25979	57237
187	26118	57099
188	26269	56986
189	26403	56837
190	26539	56691
191	26665	56525
192	26793	56364
193	26922	56204
194	27051	56045
195	27182	55889
196	27313	55735
197	27442	55578
198	27567	55411
199	27708	55278
200	27837	55120
201	27942	54917
202	28071	54759
203	28203	54609
204	28326	54442
205	28455	54285
206	28583	54129
207	28718	53984
208	28844	53823
209	28976	53675
210	29105	53521
